"Domain","Topic","Data Source","Variable Name","Variable Label"
"1. social context","Demographics","ACS","ACS_PCT_ENGL_NOT_WELL_census_tractlevel","Percentage of population that speaks a language other than English that does not speak English well (ages 5 and over)"
"1. social context","Demographics","ACS","ACS_PCT_ENGL_VERY_WELL_census_tractlevel","Percentage of population that speaks a language other than English that speaks English very well (ages 5 and over)"
"1. social context","Demographics","ACS","ACS_PCT_ENGL_WELL_census_tractlevel","Percentage of population that speaks a language other than English that speaks English well (ages 5 and over)"
"1. social context","Demographics","ACS","ACS_PCT_FEMALE_census_tractlevel","Percentage of population that is female"
"2. economic context","Employment","ACS","ACS_PCT_FINANCE_census_tractlevel","Percentage of employed working in finance and insurance, real estate, and rental and leasing (ages 16 and over)"
"1. social context","Immigration","ACS","ACS_PCT_FOREIGN_BORN_census_tractlevel","Percentage of population that is foreign-born"
"2. economic context","Employment","ACS","ACS_PCT_GOVT_census_tractlevel","Percentage of civilian employed population who are government workers (ages 16 and over)"
"3. education","Attainment","ACS","ACS_PCT_GRADUATE_DGR_census_tractlevel","Percentage of population with a master's or professional school degree or doctorate (ages 25 and over)"
"1. social context","Living conditions","ACS","ACS_PCT_GRANDP_NO_RESPS_census_tractlevel","Percentage of children living with grandparent householder whose grandparent is not responsible for them"
"1. social context","Living conditions","ACS","ACS_PCT_GRANDP_RESPS_NO_P_census_tractlevel","Percentage of children living with grandparent householder whose grandparent is responsible for them: parent not present"
"1. social context","Living conditions","ACS","ACS_PCT_GRANDP_RESPS_P_census_tractlevel","Percentage of children living with grandparent householder whose grandparent is responsible for them: parent present"
"4. physical infrastructure","Housing","ACS","ACS_PCT_GRP_QRT_census_tractlevel","Percentage of persons in institutionalized group quarters"
"1. social context","Demographics","ACS","ACS_PCT_GULFWAR_1990_2001_census_tractlevel","Percentage of the civilian veteran population that served during the Gulf War period from August 1990 to August 2001 (ages 18 and over)"
"1. social context","Demographics","ACS","ACS_PCT_GULFWAR_2001_census_tractlevel","Percentage of the civilian veteran population that served during the Gulf War period from September 2001 or later (ages 18 and over)"
"1. social context","Demographics","ACS","ACS_PCT_GULFWAR_VIETNAM_census_tractlevel","Percentage of the civilian veteran population that served between Gulf War and Vietnam era (ages 18 and over)"
"2. economic context","Poverty","ACS","ACS_PCT_HH_1FAM_FOOD_STMP_census_tractlevel","Percentage of unmarried partner households that received food stamps/SNAP benefits"
"1. social context","Living conditions","ACS","ACS_PCT_HH_1PERS_census_tractlevel","Percentage of households with only one occupant"
"1. social context","Living conditions","ACS","ACS_PCT_HH_ABOVE65_census_tractlevel","Percentage of households with one or more people 65 years and over"
"1. social context","Living conditions","ACS","ACS_PCT_HH_ALONE_ABOVE65_census_tractlevel","Percentage of households with a person 65 years and over living alone"
"2. economic context","Poverty","ACS","ACS_PCT_HH_FOOD_STMP_census_tractlevel","Percentage of households that received food stamps/SNAP, past 12 months"
"2. economic context","Poverty","ACS","ACS_PCT_HH_FOOD_STMP_BLW_POV_census_tractlevel","Percentage of households receiving food stamps/SNAP with income below the poverty level"
"2. economic context","Income","ACS","ACS_PCT_HH_INC_10000_census_tractlevel","Percentage of population with household income less than $10,000"
"2. economic context","Income","ACS","ACS_PCT_HH_INC_100000_census_tractlevel","Percentage of population with household income greater than $100,000"
"2. economic context","Income","ACS","ACS_PCT_HH_INC_14999_census_tractlevel","Percentage of population with household income between $10,000 and $14,999"
"2. economic context","Income","ACS","ACS_PCT_HH_INC_24999_census_tractlevel","Percentage of population with household income between $15,000 and $24,999"
"2. economic context","Income","ACS","ACS_PCT_HH_INC_49999_census_tractlevel","Percentage of population with household income between $25,000 and $49,999"
"2. economic context","Income","ACS","ACS_PCT_HH_INC_99999_census_tractlevel","Percentage of population with household income between $50,000 and $99,999"
"1. social context","Living conditions","ACS","ACS_PCT_HH_KID_1PRNT_census_tractlevel","Percentage of family households with female or male householder, no spouse present"
"1. social context","Demographics","ACS","ACS_PCT_HH_LIMIT_ENGLISH_census_tractlevel","Percentage of limited English speaking households"
"2. economic context","Poverty","ACS","ACS_PCT_HH_NO_FD_STMP_BLW_POV_census_tractlevel","Percentage of households not receiving food stamps/SNAP with income below the poverty level"
"2. economic context","Poverty","ACS","ACS_PCT_HH_PUB_ASSIST_census_tractlevel","Percentage of households with public assistance income or food stamps/SNAP"
"1. social context","Demographics","ACS","ACS_PCT_HISPANIC_census_tractlevel","Percentage of population reporting Hispanic ethnicity"
"1. social context","Demographics","ACS","ACS_PCT_HISP_FEMALE_census_tractlevel","Percentage of Hispanic or Latino population reporting female"
"1. social context","Demographics","ACS","ACS_PCT_HISP_MALE_census_tractlevel","Percentage of Hispanic or Latino population reporting male"
"1. social context","Demographics","ACS","ACS_PCT_HOUSEHOLDER_AIAN_census_tractlevel","Percentage of householders who are American Indian and Alaska Native alone"
"1. social context","Demographics","ACS","ACS_PCT_HOUSEHOLDER_ASIAN_census_tractlevel","Percentage of householders who are Asian alone"
"1. social context","Demographics","ACS","ACS_PCT_HOUSEHOLDER_BLACK_census_tractlevel","Percentage of householders who are Black or African American alone"
"1. social context","Demographics","ACS","ACS_PCT_HOUSEHOLDER_MULT_census_tractlevel","Percentage of householders who are two or more races"
"1. social context","Demographics","ACS","ACS_PCT_HOUSEHOLDER_NHPI_census_tractlevel","Percentage of householders who are Native Hawaiian and other Pacific Islander alone"
"1. social context","Demographics","ACS","ACS_PCT_HOUSEHOLDER_OTHER_census_tractlevel","Percentage of householders who are some other race alone"
"1. social context","Demographics","ACS","ACS_PCT_HOUSEHOLDER_WHITE_census_tractlevel","Percentage of householders who are White alone"
"3. education","Attainment","ACS","ACS_PCT_HS_GRADUATE_census_tractlevel","Percentage of population with only high school diploma (ages 25 and over)"
"4. physical infrastructure","Housing","ACS","ACS_PCT_HU_BOT_TANK_LP_GAS_census_tractlevel","Percentage of occupied housing units with bottled, tank, or LP gas"
"4. physical infrastructure","Housing","ACS","ACS_PCT_HU_BUILT_1979_census_tractlevel","Percentage of housing units built before 1979"
"4. physical infrastructure","Housing","ACS","ACS_PCT_HU_COAL_census_tractlevel","Percentage of occupied housing units with coal or coke heating"
"4. physical infrastructure","Housing","ACS","ACS_PCT_HU_ELEC_census_tractlevel","Percentage of occupied housing units with electricity heating"
"4. physical infrastructure","Housing","ACS","ACS_PCT_HU_KITCHEN_census_tractlevel","Percentage of housing units lacking complete kitchen facilities"
"4. physical infrastructure","Housing","ACS","ACS_PCT_HU_MOBILE_HOME_census_tractlevel","Percentage of housing units that are mobile homes"
"4. physical infrastructure","Housing","ACS","ACS_PCT_HU_NO_FUEL_census_tractlevel","Percentage of occupied housing units without fuel"
"4. physical infrastructure","Transportation","ACS","ACS_PCT_HU_NO_VEH_census_tractlevel","Percentage of housing units with no vehicle available"
"4. physical infrastructure","Housing","ACS","ACS_PCT_HU_OIL_census_tractlevel","Percentage of occupied housing units with fuel oil heating"
"4. physical infrastructure","Housing","ACS","ACS_PCT_HU_OTHER_census_tractlevel","Percentage of occupied housing units with other heating fuel"
"4. physical infrastructure","Housing","ACS","ACS_PCT_HU_PLUMBING_census_tractlevel","Percentage of housing units lacking complete plumbing facilities"
"4. physical infrastructure","Housing","ACS","ACS_PCT_HU_SOLAR_census_tractlevel","Percentage of occupied housing units with solar energy"
"4. physical infrastructure","Housing","ACS","ACS_PCT_HU_UTILITY_GAS_census_tractlevel","Percentage of occupied housing units with utility gas heating"
"4. physical infrastructure","Housing","ACS","ACS_PCT_HU_WOOD_census_tractlevel","Percentage of occupied housing units with wood heating"
"2. economic context","Poverty","ACS","ACS_PCT_INC50_census_tractlevel","Percentage of population with income to poverty ratio under 0.50"
"2. economic context","Poverty","ACS","ACS_PCT_INC50_ABOVE65_census_tractlevel","Percentage of population with income to poverty ratio under 0.50 (ages 65 and over)"
"2. economic context","Income","ACS","ACS_PCT_INC50_BELOW17_census_tractlevel","Percentage of children with income to poverty ratio under 0.50  (ages 17 and below)"
"2. economic context","Employment","ACS","ACS_PCT_INFORM_census_tractlevel","Percentage of employed working in information services (ages 16 and over)"
"4. physical infrastructure","Migration","ACS","ACS_PCT_IN_COUNTY_MOVE_census_tractlevel","Percentage of population that moved within the same county in the past year (age 1 and over)"
"4. physical infrastructure","Migration","ACS","ACS_PCT_IN_STATE_MOVE_census_tractlevel","Percentage of population that moved from different county within same state in the past year (age 1 and over)"
"3. education","Attainment","ACS","ACS_PCT_LT_HS_census_tractlevel","Percentage of population with less than high school education (ages 25 and over)"
"1. social context","Demographics","ACS","ACS_PCT_MALE_census_tractlevel","Percentage of population that is male"
"2. economic context","Employment","ACS","ACS_PCT_MANUFACT_census_tractlevel","Percentage of employed working in manufacturing (ages 16 and over)"
"1. social context","Demographics","ACS","ACS_PCT_MARRIED_SP_AB_F_census_tractlevel","Percentage of female population now married and spouse absent (ages 15 and over)"
