"Variable_Name","Variable_Label","Group0_Rate","Group1_Rate","Rate_Difference","P_Value","Test_Used","Domain","Data_Source","N_Group0","N_Group1","Min_Expected","Significance"
"ACS_PCT_COMMT_29MIN_countylevel","Percentage of workers with 15- to 29-minute commute time (ages 16 and over)",0,0,0,0,"Chi-square","4. physical infrastructure","ACS",14983,2296,8639.5,"***"
"ACS_PCT_COMMT_59MIN_countylevel","Percentage of workers with 30- to 59-minute commute time (ages 16 and over)",0,0,0,0,"Chi-square","4. physical infrastructure","ACS",14983,2296,8639.5,"***"
"ACS_PCT_COMMT_60MINUP_countylevel","Percentage of workers with at least 60-minute commute time (ages 16 and over)",0,0,0,0,"Chi-square","4. physical infrastructure","ACS",14983,2296,8639.5,"***"
"ACS_PCT_CONSTRUCT_countylevel","Percentage of employed working in construction (ages 16 and over)",0,0,0,0,"Chi-square","2. economic context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_DIVORCED_F_countylevel","Percentage of female population divorced or separated (ages 15 and over)",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_DIVORCED_M_countylevel","Percentage of male population divorced or separated (ages 15 and over)",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_DRIVE_2WORK_countylevel","Percentage of workers taking a car, truck, or van to work (ages 16 and over)",0,0,0,0,"Chi-square","4. physical infrastructure","ACS",14983,2296,8639.5,"***"
"ACS_PCT_EDUC_countylevel","Percentage of employed working in educational services, and healthcare and social assistance (ages 16 and over)",0,0,0,0,"Chi-square","2. economic context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_EMPLOYED_countylevel","Percentage of civilian labor force that is employed (ages 16 and over)",0,0,0,0,"Chi-square","2. economic context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_ENGLISH_countylevel","Percentage of population that only speaks English (ages 5 and over)",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_ENGL_NOT_ALL_countylevel","Percentage of population that speaks a language other than English that does not speak English at all (ages 5 and over)",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_ENGL_NOT_WELL_countylevel","Percentage of population that speaks a language other than English that does not speak English well (ages 5 and over)",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_ENGL_VERY_WELL_countylevel","Percentage of population that speaks a language other than English that speaks English very well (ages 5 and over)",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_ENGL_WELL_countylevel","Percentage of population that speaks a language other than English that speaks English well (ages 5 and over)",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_FEMALE_countylevel","Percentage of population that is female",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_FINANCE_countylevel","Percentage of employed working in finance and insurance, real estate, and rental and leasing (ages 16 and over)",0,0,0,0,"Chi-square","2. economic context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_GOVT_countylevel","Percentage of civilian employed population who are government workers (ages 16 and over)",0,0,0,0,"Chi-square","2. economic context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_GRADUATE_DGR_countylevel","Percentage of population with a master's or professional school degree or doctorate (ages 25 and over)",0,0,0,0,"Chi-square","3. education","ACS",14983,2296,8639.5,"***"
"ACS_PCT_GRANDP_NO_RESPS_countylevel","Percentage of children living with grandparent householder whose grandparent is not responsible for them",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_GRANDP_RESPS_NO_P_countylevel","Percentage of children living with grandparent householder whose grandparent is responsible for them: parent not present",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_GRANDP_RESPS_P_countylevel","Percentage of children living with grandparent householder whose grandparent is responsible for them: parent present",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_GRP_QRT_countylevel","Percentage of persons in institutionalized group quarters",0,0,0,0,"Chi-square","4. physical infrastructure","ACS",14983,2296,8639.5,"***"
"ACS_PCT_GULFWAR_1990_2001_countylevel","Percentage of the civilian veteran population that served during the Gulf War period from August 1990 to August 2001 (ages 18 and over)",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_GULFWAR_2001_countylevel","Percentage of the civilian veteran population that served during the Gulf War period from September 2001 or later (ages 18 and over)",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_GULFWAR_VIETNAM_countylevel","Percentage of the civilian veteran population that served between Gulf War and Vietnam era (ages 18 and over)",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_HH_1FAM_FOOD_STMP_countylevel","Percentage of unmarried partner households that received food stamps/SNAP benefits",0,0,0,0,"Chi-square","2. economic context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_HH_1PERS_countylevel","Percentage of households with only one occupant",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_HH_ABOVE65_countylevel","Percentage of households with one or more people 65 years and over",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_HH_ALONE_ABOVE65_countylevel","Percentage of households with a person 65 years and over living alone",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_HH_FOOD_STMP_countylevel","Percentage of households that received food stamps/SNAP, past 12 months",0,0,0,0,"Chi-square","2. economic context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_HH_FOOD_STMP_BLW_POV_countylevel","Percentage of households receiving food stamps/SNAP with income below the poverty level",0,0,0,0,"Chi-square","2. economic context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_HH_INC_10000_countylevel","Percentage of population with household income less than $10,000",0,0,0,0,"Chi-square","2. economic context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_HH_INC_100000_countylevel","Percentage of population with household income greater than $100,000",0,0,0,0,"Chi-square","2. economic context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_HH_INC_14999_countylevel","Percentage of population with household income between $10,000 and $14,999",0,0,0,0,"Chi-square","2. economic context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_HH_INC_24999_countylevel","Percentage of population with household income between $15,000 and $24,999",0,0,0,0,"Chi-square","2. economic context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_HH_INC_49999_countylevel","Percentage of population with household income between $25,000 and $49,999",0,0,0,0,"Chi-square","2. economic context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_HH_INC_99999_countylevel","Percentage of population with household income between $50,000 and $99,999",0,0,0,0,"Chi-square","2. economic context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_HH_KID_1PRNT_countylevel","Percentage of family households with female or male householder, no spouse present",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_HH_LIMIT_ENGLISH_countylevel","Percentage of limited English speaking households",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_HH_NO_FD_STMP_BLW_POV_countylevel","Percentage of households not receiving food stamps/SNAP with income below the poverty level",0,0,0,0,"Chi-square","2. economic context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_HH_PUB_ASSIST_countylevel","Percentage of households with public assistance income or food stamps/SNAP",0,0,0,0,"Chi-square","2. economic context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_HISPANIC_countylevel","Percentage of population reporting Hispanic ethnicity",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_HOUSEHOLDER_AIAN_countylevel","Percentage of householders who are American Indian and Alaska Native alone",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_HOUSEHOLDER_ASIAN_countylevel","Percentage of householders who are Asian alone",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_HOUSEHOLDER_BLACK_countylevel","Percentage of householders who are Black or African American alone",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_HOUSEHOLDER_MULT_countylevel","Percentage of householders who are two or more races",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_HOUSEHOLDER_NHPI_countylevel","Percentage of householders who are Native Hawaiian and other Pacific Islander alone",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_HOUSEHOLDER_OTHER_countylevel","Percentage of householders who are some other race alone",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_HOUSEHOLDER_WHITE_countylevel","Percentage of householders who are White alone",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_HS_GRADUATE_countylevel","Percentage of population with only high school diploma (ages 25 and over)",0,0,0,0,"Chi-square","3. education","ACS",14983,2296,8639.5,"***"
"ACS_PCT_HU_BOT_TANK_LP_GAS_countylevel","Percentage of occupied housing units with bottled, tank, or LP gas",0,0,0,0,"Chi-square","4. physical infrastructure","ACS",14983,2296,8639.5,"***"
"ACS_PCT_HU_BUILT_1979_countylevel","Percentage of housing units built before 1979",0,0,0,0,"Chi-square","4. physical infrastructure","ACS",14983,2296,8639.5,"***"
"ACS_PCT_HU_COAL_countylevel","Percentage of occupied housing units with coal or coke heating",0,0,0,0,"Chi-square","4. physical infrastructure","ACS",14983,2296,8639.5,"***"
"ACS_PCT_HU_ELEC_countylevel","Percentage of occupied housing units with electricity heating",0,0,0,0,"Chi-square","4. physical infrastructure","ACS",14983,2296,8639.5,"***"
"ACS_PCT_HU_KITCHEN_countylevel","Percentage of housing units lacking complete kitchen facilities",0,0,0,0,"Chi-square","4. physical infrastructure","ACS",14983,2296,8639.5,"***"
"ACS_PCT_HU_MOBILE_HOME_countylevel","Percentage of housing units that are mobile homes",0,0,0,0,"Chi-square","4. physical infrastructure","ACS",14983,2296,8639.5,"***"
"ACS_PCT_HU_NO_FUEL_countylevel","Percentage of occupied housing units without fuel",0,0,0,0,"Chi-square","4. physical infrastructure","ACS",14983,2296,8639.5,"***"
