"Variable","Domain","MissingRate"
"ACS_PCT_HU_NO_VEH_countylevel","4. physical infrastructure",0.00278055833611389
"ACS_PCT_HU_OIL_countylevel","4. physical infrastructure",0.00278055833611389
"ACS_PCT_HU_OTHER_countylevel","4. physical infrastructure",0.00278055833611389
"ACS_PCT_HU_PLUMBING_countylevel","4. physical infrastructure",0.00556111667222778
"ACS_PCT_HU_SOLAR_countylevel","4. physical infrastructure",0.00278055833611389
"ACS_PCT_HU_UTILITY_GAS_countylevel","4. physical infrastructure",0.00278055833611389
"ACS_PCT_HU_WOOD_countylevel","4. physical infrastructure",0.00278055833611389
"ACS_PCT_INC50_countylevel","2. economic context",0.00278055833611389
"ACS_PCT_INC50_ABOVE65_countylevel","2. economic context",0.00278055833611389
"ACS_PCT_INC50_BELOW17_countylevel","2. economic context",0.00278055833611389
"ACS_PCT_INFORM_countylevel","2. economic context",0.00278055833611389
"ACS_PCT_IN_COUNTY_MOVE_countylevel","4. physical infrastructure",0.00834167500834168
"ACS_PCT_IN_STATE_MOVE_countylevel","4. physical infrastructure",0.00834167500834168
"ACS_PCT_LT_HS_countylevel","3. education",0.00278055833611389
"ACS_PCT_MALE_countylevel","1. social context",0.00278055833611389
"ACS_PCT_MANUFACT_countylevel","2. economic context",0.00278055833611389
"ACS_PCT_MARRIED_SP_AB_F_countylevel","1. social context",0.00278055833611389
"ACS_PCT_MARRIED_SP_AB_M_countylevel","1. social context",0.00278055833611389
"ACS_PCT_MARRIED_SP_PR_F_countylevel","1. social context",0.00278055833611389
"ACS_PCT_MARRIED_SP_PR_M_countylevel","1. social context",0.00278055833611389
"ACS_PCT_MEDICAID_ANY_countylevel","5. healthcare context",35.7635413190969
"ACS_PCT_MEDICAID_ANY_BELOW64_countylevel","5. healthcare context",35.7635413190969
"ACS_PCT_MEDICARE_ONLY_countylevel","5. healthcare context",35.7635413190969
"ACS_PCT_MULT_RACE_countylevel","1. social context",0.00278055833611389
"ACS_PCT_MULT_RACE_FEMALE_countylevel","1. social context",0.0389278167055945
"ACS_PCT_MULT_RACE_MALE_countylevel","1. social context",0.0389278167055945
"ACS_PCT_MULT_RACE_NONHISP_countylevel","1. social context",0.00278055833611389
"ACS_PCT_NATURE_countylevel","2. economic context",0.00278055833611389
"ACS_PCT_NHPI_countylevel","1. social context",0.00278055833611389
"ACS_PCT_NHPI_COMB_countylevel","1. social context",0.00278055833611389
"ACS_PCT_NHPI_FEMALE_countylevel","1. social context",13.5969302635969
"ACS_PCT_NHPI_MALE_countylevel","1. social context",13.5969302635969
"ACS_PCT_NHPI_NONHISP_countylevel","1. social context",0.00278055833611389
"ACS_PCT_NONCTN_1990_countylevel","1. social context",0.00834167500834168
"ACS_PCT_NONCTN_1999_countylevel","1. social context",0.00834167500834168
"ACS_PCT_NONCTN_2000_countylevel","1. social context",0.00834167500834168
"ACS_PCT_NONCTN_2010_countylevel","1. social context",25.1835168501835
"ACS_PCT_NONVET_DISABLE_18_64_countylevel","1. social context",25.1779557335113
"ACS_PCT_NONVET_POV_18_64_countylevel","2. economic context",25.1779557335113
"ACS_PCT_NON_CITIZEN_countylevel","1. social context",0.00834167500834168
"ACS_PCT_NOT_LABOR_countylevel","2. economic context",0.00278055833611389
"ACS_PCT_NO_WORK_NO_SCHL_16_19_countylevel","3. education",0.00278055833611389
"ACS_PCT_NVR_MARRIED_F_countylevel","1. social context",0.00278055833611389
"ACS_PCT_NVR_MARRIED_M_countylevel","1. social context",0.00278055833611389
"ACS_PCT_OTHER_countylevel","2. economic context",0.00278055833611389
"ACS_PCT_OTHER_FEMALE_countylevel","1. social context",0.378155933711489
"ACS_PCT_OTHER_INS_countylevel","5. healthcare context",35.7635413190969
"ACS_PCT_OTHER_MALE_countylevel","1. social context",0.378155933711489
"ACS_PCT_OTHER_NONHISP_countylevel","1. social context",0.00278055833611389
"ACS_PCT_OTHER_RACE_countylevel","1. social context",0.00278055833611389
"ACS_PCT_OTH_EURP_countylevel","1. social context",0.00278055833611389
"ACS_PCT_OTH_LANG_countylevel","1. social context",0.00278055833611389
"ACS_PCT_OWNER_HU_countylevel","4. physical infrastructure",0.00278055833611389
"ACS_PCT_OWNER_HU_CHILD_countylevel","4. physical infrastructure",0.00278055833611389
"ACS_PCT_OWNER_HU_COST_30PCT_countylevel","4. physical infrastructure",0.00278055833611389
"ACS_PCT_OWNER_HU_COST_50PCT_countylevel","4. physical infrastructure",0.00278055833611389
"ACS_PCT_PERSON_INC_100_124_countylevel","2. economic context",0.00278055833611389
"ACS_PCT_PERSON_INC_125_199_countylevel","2. economic context",0.00278055833611389
"ACS_PCT_PERSON_INC_ABOVE200_countylevel","2. economic context",0.00278055833611389
"ACS_PCT_PERSON_INC_BELOW99_countylevel","2. economic context",0.00278055833611389
"ACS_PCT_POSTHS_ED_countylevel","3. education",0.00278055833611389
"ACS_PCT_POV_AIAN_countylevel","2. economic context",1.5404293182071
"ACS_PCT_POV_ASIAN_countylevel","2. economic context",0.500500500500501
"ACS_PCT_POV_BLACK_countylevel","2. economic context",0.0194639083527972
"ACS_PCT_POV_HISPANIC_countylevel","2. economic context",0.0695139584028473
"ACS_PCT_POV_MULTI_countylevel","2. economic context",0.05005005005005
"ACS_PCT_POV_NHPI_countylevel","2. economic context",13.9250361472584
"ACS_PCT_POV_OTHER_countylevel","2. economic context",0.525525525525526
"ACS_PCT_POV_WHITE_countylevel","2. economic context",0.00278055833611389
"ACS_PCT_PRIVATE_ANY_countylevel","5. healthcare context",35.7635413190969
"ACS_PCT_PRIVATE_ANY_BELOW64_countylevel","5. healthcare context",35.7635413190969
"ACS_PCT_PRIVATE_EMPL_countylevel","5. healthcare context",35.7635413190969
"ACS_PCT_PRIVATE_EMPL_BELOW64_countylevel","5. healthcare context",35.7635413190969
"ACS_PCT_PRIVATE_MDCR_countylevel","5. healthcare context",35.7635413190969
"ACS_PCT_PRIVATE_MDCR_35_64_countylevel","5. healthcare context",35.7635413190969
"ACS_PCT_PRIVATE_OTHER_countylevel","5. healthcare context",35.7635413190969
"ACS_PCT_PRIVATE_OTHER_BELOW64_countylevel","5. healthcare context",35.7635413190969
"ACS_PCT_PRIVATE_SELF_countylevel","5. healthcare context",35.7635413190969
"ACS_PCT_PRIVATE_SELF_BELOW64_countylevel","5. healthcare context",35.7635413190969
"ACS_PCT_PROFESS_countylevel","2. economic context",0.00278055833611389
"ACS_PCT_PUBLIC_OTHER_countylevel","5. healthcare context",35.7635413190969
"ACS_PCT_PUBLIC_ONLY_countylevel","5. healthcare context",35.7635413190969
"ACS_PCT_PUBLIC_OTHER_BELOW64_countylevel","5. healthcare context",35.7635413190969
"ACS_PCT_PUBL_TRANSIT_countylevel","4. physical infrastructure",0.00278055833611389
"ACS_PCT_PUB_COMMT_15MIN_countylevel","4. physical infrastructure",2.07985763541319
"ACS_PCT_PUB_COMMT_29MIN_countylevel","4. physical infrastructure",2.07985763541319
"ACS_PCT_PUB_COMMT_59MIN_countylevel","4. physical infrastructure",2.07985763541319
"ACS_PCT_PUB_COMMT_60MINUP_countylevel","4. physical infrastructure",2.07985763541319
"ACS_PCT_PVT_EMPL_DRCT_countylevel","5. healthcare context",35.7635413190969
"ACS_PCT_PVT_EMPL_DRCT_BELOW64_countylevel","5. healthcare context",35.7635413190969
"ACS_PCT_PVT_NONPROFIT_countylevel","2. economic context",0.00278055833611389
"ACS_PCT_PVT_PROFIT_countylevel","2. economic context",0.00278055833611389
"ACS_PCT_RENTER_HU_countylevel","4. physical infrastructure",0.00278055833611389
"ACS_PCT_RENTER_HU_ABOVE65_countylevel","4. physical infrastructure",0.00278055833611389
"ACS_PCT_RENTER_HU_CHILD_countylevel","4. physical infrastructure",0.00278055833611389
"ACS_PCT_RENTER_HU_COST_30PCT_countylevel","4. physical infrastructure",0.00278055833611389
"ACS_PCT_RENTER_HU_COST_50PCT_countylevel","4. physical infrastructure",0.00278055833611389
"ACS_PCT_RETAIL_countylevel","2. economic context",0.00278055833611389
"ACS_PCT_SAME_SEX_UNMRD_PRTNR_countylevel","1. social context",0.00278055833611389
"ACS_PCT_SELF_MDCR_ABOVE35_countylevel","5. healthcare context",35.7635413190969
"ACS_PCT_SPANISH_countylevel","1. social context",0.00278055833611389
"ACS_PCT_TAXICAB_2WORK_countylevel","4. physical infrastructure",0.00278055833611389
"ACS_PCT_TRANSPORT_countylevel","2. economic context",0.00278055833611389
"ACS_PCT_TRICARE_VA_countylevel","5. healthcare context",35.7635413190969
"ACS_PCT_TRICARE_VA_BELOW64_countylevel","5. healthcare context",35.7635413190969
"ACS_PCT_UNEMPLOY_countylevel","2. economic context",0.00278055833611389
"ACS_PCT_UNINSURED_countylevel","5. healthcare context",35.7635413190969
"ACS_PCT_UNINSURED_BELOW64_countylevel","5. healthcare context",35.7635413190969
